Song,Date,Total Number of Plays for Date
Angola,2020-01-19,4452
Angola,2020-01-20,3849
Angola,2020-01-21,3402
Angola,2020-01-22,4766
Angola,2020-01-23,4560
Angola,2020-01-24,3413
Angola,2020-01-25,2825
Angola,2020-01-26,4056
Angola,2020-01-27,2646
Angola,2020-01-28,4186
Angola,2020-01-29,3664
Angola,2020-01-30,2500
Angola,2020-01-31,2168
Anguilla,2019-12-31,926
Anguilla,2020-01-01,4325
Anguilla,2020-01-02,4697
Anguilla,2020-01-03,2996
Anguilla,2020-01-04,1970
Anguilla,2020-01-05,3535
Anguilla,2020-01-06,2780
Anguilla,2020-01-07,3396
Anguilla,2020-01-08,2597
Anguilla,2020-01-09,4582
Anguilla,2020-01-10,3019
Anguilla,2020-01-11,2464
Anguilla,2020-01-12,5134
Anguilla,2020-01-13,2530
Anguilla,2020-01-14,3954
Anguilla,2020-01-15,2878
Anguilla,2020-01-16,3548
Anguilla,2020-01-17,2369
Anguilla,2020-01-18,2396
Anguilla,2020-01-19,1160
Anguilla,2020-01-20,5395
Anguilla,2020-01-21,3468
Anguilla,2020-01-22,2554
Anguilla,2020-01-23,3178
Anguilla,2020-01-24,2963
Anguilla,2020-01-25,3485
Anguilla,2020-01-26,4552
Anguilla,2020-01-27,3131
Anguilla,2020-01-28,5626
Anguilla,2020-01-29,3818
Anguilla,2020-01-30,3260
Anguilla,2020-01-31,350
Antarctica,2019-12-31,719
Antarctica,2020-01-01,1931
Antarctica,2020-01-02,3642
Antarctica,2020-01-03,3140
Antarctica,2020-01-04,6089
Antarctica,2020-01-05,2849
Antarctica,2020-01-06,3516
Antarctica,2020-01-07,1606
Antarctica,2020-01-08,1968
Antarctica,2020-01-09,2305
Antarctica,2020-01-10,2640
Antarctica,2020-01-11,1890
Antarctica,2020-01-12,3440
Antarctica,2020-01-13,4520
Antarctica,2020-01-14,1856
Antarctica,2020-01-15,3054
Antarctica,2020-01-16,3343
Antarctica,2020-01-17,4640
Antarctica,2020-01-18,2194
Antarctica,2020-01-19,2487
Antarctica,2020-01-20,4508
Antarctica,2020-01-21,5330
Antarctica,2020-01-22,3193
Antarctica,2020-01-23,3782
Antarctica,2020-01-24,3375
Antarctica,2020-01-25,3238
Antarctica,2020-01-26,3012
Antarctica,2020-01-27,2414
Antarctica,2020-01-28,2038
Antarctica,2020-01-29,5418
Antarctica,2020-01-30,2414
Antarctica,2020-01-31,2044
Antigua and Barbuda,2019-12-31,856
Antigua and Barbuda,2020-01-01,3190
Antigua and Barbuda,2020-01-02,2652
Antigua and Barbuda,2020-01-03,2592
Antigua and Barbuda,2020-01-04,3758
Antigua and Barbuda,2020-01-05,857
Antigua and Barbuda,2020-01-06,4177
Antigua and Barbuda,2020-01-07,2440
Antigua and Barbuda,2020-01-08,2591
Antigua and Barbuda,2020-01-09,3968
Antigua and Barbuda,2020-01-10,4577
Antigua and Barbuda,2020-01-11,1823
Antigua and Barbuda,2020-01-12,3426
Antigua and Barbuda,2020-01-13,3688
Antigua and Barbuda,2020-01-14,2778
Antigua and Barbuda,2020-01-15,3901
Antigua and Barbuda,2020-01-16,3742
Antigua and Barbuda,2020-01-17,3039
Antigua and Barbuda,2020-01-18,2947
Antigua and Barbuda,2020-01-19,4433
Antigua and Barbuda,2020-01-20,4970
Antigua and Barbuda,2020-01-21,2533
Antigua and Barbuda,2020-01-22,3917
Antigua and Barbuda,2020-01-23,2474
Antigua and Barbuda,2020-01-24,1385
Antigua and Barbuda,2020-01-25,3370
Antigua and Barbuda,2020-01-26,1380
Antigua and Barbuda,2020-01-27,3482
Antigua and Barbuda,2020-01-28,2650
Antigua and Barbuda,2020-01-29,3366
Antigua and Barbuda,2020-01-30,1922
Antigua and Barbuda,2020-01-31,2142
Argentina,2019-12-31,614
Argentina,2020-01-01,3619
Argentina,2020-01-02,2796
Argentina,2020-01-03,3285
Argentina,2020-01-04,2210
Argentina,2020-01-05,3104
Argentina,2020-01-06,4737
Argentina,2020-01-07,3802
Argentina,2020-01-08,4624
Argentina,2020-01-09,4064
Argentina,2020-01-10,4265
Argentina,2020-01-11,4743
Argentina,2020-01-12,2245
Argentina,2020-01-13,5541
Argentina,2020-01-14,2412
Argentina,2020-01-15,3098
Argentina,2020-01-16,3947
Argentina,2020-01-17,4827
Argentina,2020-01-18,4526
Argentina,2020-01-19,2354
Argentina,2020-01-20,3904
Argentina,2020-01-21,4582
Argentina,2020-01-22,2426
Argentina,2020-01-23,3122
Argentina,2020-01-24,4941
Argentina,2020-01-25,4426
Argentina,2020-01-26,3869
Argentina,2020-01-27,3137
Argentina,2020-01-28,4056
Argentina,2020-01-29,3517
Argentina,2020-01-30,3999
Argentina,2020-01-31,2169
Armenia,2019-12-31,667
Armenia,2020-01-01,2308
Armenia,2020-01-02,301
Armenia,2020-01-03,3194
Armenia,2020-01-04,2849
Armenia,2020-01-05,2099
Armenia,2020-01-06,3351
Armenia,2020-01-07,3056
Armenia,2020-01-08,2755
Armenia,2020-01-09,4398
Armenia,2020-01-10,3486
Armenia,2020-01-11,3697
Armenia,2020-01-12,2939
Armenia,2020-01-13,4069
Armenia,2020-01-14,1974
Armenia,2020-01-15,2320
Armenia,2020-01-16,1281
Armenia,2020-01-17,3304
Armenia,2020-01-18,5064
Armenia,2020-01-19,4033
Armenia,2020-01-20,2827
Armenia,2020-01-21,3377
Armenia,2020-01-22,5529
Armenia,2020-01-23,3754
Armenia,2020-01-24,2097
Armenia,2020-01-25,4131
Armenia,2020-01-26,3845
Armenia,2020-01-27,3642
Armenia,2020-01-28,4787
Armenia,2020-01-29,5971
Armenia,2020-01-30,2091
Armenia,2020-01-31,3100
Aruba,2019-12-31,395
Aruba,2020-01-01,2458
Aruba,2020-01-02,2509
Aruba,2020-01-03,3631
Aruba,2020-01-04,2576
Aruba,2020-01-05,2662
Aruba,2020-01-06,2111
Aruba,2020-01-07,3692
Aruba,2020-01-08,2727
Aruba,2020-01-09,2553
Aruba,2020-01-10,2447
Aruba,2020-01-11,2721
Aruba,2020-01-12,4201
Aruba,2020-01-13,1732
Aruba,2020-01-14,2234
Aruba,2020-01-15,4391
Aruba,2020-01-16,2569
Aruba,2020-01-17,2465
Aruba,2020-01-18,3028
Aruba,2020-01-19,1643
Aruba,2020-01-20,3962
Aruba,2020-01-21,2763
Aruba,2020-01-22,2152
Aruba,2020-01-23,3147
Aruba,2020-01-24,2603
Aruba,2020-01-25,4249
Aruba,2020-01-26,2682
Aruba,2020-01-27,2721
Aruba,2020-01-28,2862
Aruba,2020-01-29,3828
Aruba,2020-01-30,2540
Aruba,2020-01-31,2228
Australia,2019-12-31,806
Australia,2020-01-01,2547
Australia,2020-01-02,4438
Australia,2020-01-03,5292
Australia,2020-01-04,6005
Australia,2020-01-05,3386
Australia,2020-01-06,4314
Australia,2020-01-07,5210
Australia,2020-01-08,1590
Australia,2020-01-09,1966
Australia,2020-01-10,5096
Australia,2020-01-11,2130
Australia,2020-01-12,2282
Australia,2020-01-13,3680
Australia,2020-01-14,2799
Australia,2020-01-15,4514
Australia,2020-01-16,5697
Australia,2020-01-17,2866
Australia,2020-01-18,1910
Australia,2020-01-19,2897
Australia,2020-01-20,4026
Australia,2020-01-21,2478
Australia,2020-01-22,2372
Australia,2020-01-23,3290
Australia,2020-01-24,4513
Australia,2020-01-25,2874
Australia,2020-01-26,4634
Australia,2020-01-27,2163
Australia,2020-01-28,5422
Australia,2020-01-29,3336
Australia,2020-01-30,2728
Australia,2020-01-31,4064
Austria,2019-12-31,368
Austria,2020-01-01,4908
Austria,2020-01-02,2011
Austria,2020-01-03,3394
Austria,2020-01-04,5133
Austria,2020-01-05,2289
Austria,2020-01-06,2889
Austria,2020-01-07,4612
Austria,2020-01-08,2889
Austria,2020-01-09,3940
Austria,2020-01-10,3723
Austria,2020-01-11,5854
Austria,2020-01-12,3828
Austria,2020-01-13,2407
Austria,2020-01-14,6218
Austria,2020-01-15,3316
Austria,2020-01-16,2176
Austria,2020-01-17,2392
Austria,2020-01-18,1539
Austria,2020-01-19,3809
Austria,2020-01-20,3395
Austria,2020-01-21,3123
Austria,2020-01-22,2992
Austria,2020-01-23,4208
Austria,2020-01-24,3835
Austria,2020-01-25,2980
Austria,2020-01-26,4077
Austria,2020-01-27,2020
Austria,2020-01-28,4185
Austria,2020-01-29,4518
Austria,2020-01-30,3359
Austria,2020-01-31,1245
Azerbaijan,2019-12-31,658
Azerbaijan,2020-01-01,5137
Azerbaijan,2020-01-02,2325
Azerbaijan,2020-01-03,2935
Azerbaijan,2020-01-04,5575
Azerbaijan,2020-01-05,2702
Azerbaijan,2020-01-06,4920
Azerbaijan,2020-01-07,2683
Azerbaijan,2020-01-08,2698
Azerbaijan,2020-01-09,4167
Azerbaijan,2020-01-10,3384
Azerbaijan,2020-01-11,2378
Azerbaijan,2020-01-12,1627
Azerbaijan,2020-01-13,3618
Azerbaijan,2020-01-14,3988
Azerbaijan,2020-01-15,3482
Azerbaijan,2020-01-16,1376
Azerbaijan,2020-01-17,2647
Azerbaijan,2020-01-18,2906
Azerbaijan,2020-01-19,4358
Azerbaijan,2020-01-20,3017
Azerbaijan,2020-01-21,2219
Azerbaijan,2020-01-22,3888
Azerbaijan,2020-01-23,3334
Azerbaijan,2020-01-24,4934
Azerbaijan,2020-01-25,3932
Azerbaijan,2020-01-26,4708
Azerbaijan,2020-01-27,3272
Azerbaijan,2020-01-28,3514
Azerbaijan,2020-01-29,5341
Azerbaijan,2020-01-30,3926
Azerbaijan,2020-01-31,2461
Bahamas,2019-12-31,382
Bahamas,2020-01-01,1824
Bahamas,2020-01-02,2383
Bahamas,2020-01-03,3555
Bahamas,2020-01-04,2210
Bahamas,2020-01-05,1362
Bahamas,2020-01-06,3040
Bahamas,2020-01-07,3631
Bahamas,2020-01-08,3677
Bahamas,2020-01-09,2689
Bahamas,2020-01-10,4191
Bahamas,2020-01-11,3883
Bahamas,2020-01-12,2928
Bahamas,2020-01-13,2269
Bahamas,2020-01-14,3577
Bahamas,2020-01-15,4224
Bahamas,2020-01-16,5515
Bahamas,2020-01-17,1454
Bahamas,2020-01-18,2979
Bahamas,2020-01-19,3000
Bahamas,2020-01-20,3366
Bahamas,2020-01-21,3071
Bahamas,2020-01-22,3510
Bahamas,2020-01-23,3636
Bahamas,2020-01-24,2566
Bahamas,2020-01-25,3273
Bahamas,2020-01-26,4081
Bahamas,2020-01-27,1721
Bahamas,2020-01-28,3214
Bahamas,2020-01-29,2080
Bahamas,2020-01-30,3131
Bahamas,2020-01-31,2655
Bahrain,2019-12-31,837
Bahrain,2020-01-01,2117
Bahrain,2020-01-02,3359
Bahrain,2020-01-03,2537
Bahrain,2020-01-04,2588
Bahrain,2020-01-05,2595
Bahrain,2020-01-06,2618
Bahrain,2020-01-07,3666
Bahrain,2020-01-08,1488
Bahrain,2020-01-09,4862
Bahrain,2020-01-10,4500
Bahrain,2020-01-11,2102
Bahrain,2020-01-12,3208
Bahrain,2020-01-13,5874
Bahrain,2020-01-14,4286
Bahrain,2020-01-15,3156
Bahrain,2020-01-16,6857
Bahrain,2020-01-17,4967
Bahrain,2020-01-18,4172
Bahrain,2020-01-19,2866
Bahrain,2020-01-20,1806
Bahrain,2020-01-21,3198
Bahrain,2020-01-22,3041
Bahrain,2020-01-23,2672
Bahrain,2020-01-24,683
Bahrain,2020-01-25,3619
Bahrain,2020-01-26,4386
Bahrain,2020-01-27,2451
Bahrain,2020-01-28,2580
Bahrain,2020-01-29,3035
Bahrain,2020-01-30,1475
Bahrain,2020-01-31,2624
Bangladesh,2019-12-31,623
Bangladesh,2020-01-01,1559
Bangladesh,2020-01-02,2365
Bangladesh,2020-01-03,4188
Bangladesh,2020-01-04,3704
Bangladesh,2020-01-05,1752
Bangladesh,2020-01-06,3135
Bangladesh,2020-01-07,2755
Bangladesh,2020-01-08,2748
Bangladesh,2020-01-09,2891
Bangladesh,2020-01-10,4778
Bangladesh,2020-01-11,3544
Bangladesh,2020-01-12,1998
Bangladesh,2020-01-13,5090
Bangladesh,2020-01-14,2700
Bangladesh,2020-01-15,1678
Bangladesh,2020-01-16,3277
Bangladesh,2020-01-17,1982
Bangladesh,2020-01-18,1782
Bangladesh,2020-01-19,5662
Bangladesh,2020-01-20,4647
Bangladesh,2020-01-21,3774
Bangladesh,2020-01-22,1659
Bangladesh,2020-01-23,3866
Bangladesh,2020-01-24,3869
Bangladesh,2020-01-25,3359
Bangladesh,2020-01-26,4560
Bangladesh,2020-01-27,3997
Bangladesh,2020-01-28,4559
Bangladesh,2020-01-29,5184
Bangladesh,2020-01-30,5174
Bangladesh,2020-01-31,1669
Barbados,2019-12-31,180
Barbados,2020-01-01,3970
Barbados,2020-01-02,2598
Barbados,2020-01-03,3894
Barbados,2020-01-04,3528
Barbados,2020-01-05,1489
Barbados,2020-01-06,3099
Barbados,2020-01-07,3896
Barbados,2020-01-08,3784
Barbados,2020-01-09,4933
Barbados,2020-01-10,3451
Barbados,2020-01-11,3772
Barbados,2020-01-12,5341
Barbados,2020-01-13,2620
Barbados,2020-01-14,2713
Barbados,2020-01-15,3766
Barbados,2020-01-16,1592
Barbados,2020-01-17,1610
Barbados,2020-01-18,4808
Barbados,2020-01-19,4075
Barbados,2020-01-20,3954
Barbados,2020-01-21,3083
Barbados,2020-01-22,3561
Barbados,2020-01-23,2831
Barbados,2020-01-24,4160
Barbados,2020-01-25,3395
Barbados,2020-01-26,2755
Barbados,2020-01-27,3151
Barbados,2020-01-28,2377
Barbados,2020-01-29,2493
Barbados,2020-01-30,1869
Barbados,2020-01-31,4413
Belarus,2019-12-31,679
Belarus,2020-01-01,3969
Belarus,2020-01-02,4139
Belarus,2020-01-03,2946
Belarus,2020-01-04,4136
Belarus,2020-01-05,2527
Belarus,2020-01-06,4189
Belarus,2020-01-07,3430
Belarus,2020-01-08,1965
Belarus,2020-01-09,4059
Belarus,2020-01-10,4633
Belarus,2020-01-11,4476
Belarus,2020-01-12,3583
Belarus,2020-01-13,2755
Belarus,2020-01-14,3280
Belarus,2020-01-15,5824
Belarus,2020-01-16,3931
Belarus,2020-01-17,1701
Belarus,2020-01-18,3597
Belarus,2020-01-19,2128
Belarus,2020-01-20,1994
Belarus,2020-01-21,3837
Belarus,2020-01-22,3415
Belarus,2020-01-23,1675
Belarus,2020-01-24,1722
Belarus,2020-01-25,2576
Belarus,2020-01-26,1970
Belarus,2020-01-27,2559
Belarus,2020-01-28,4369
Belarus,2020-01-29,4054
Belarus,2020-01-30,4134
Belarus,2020-01-31,1982
Belgium,2019-12-31,74
Belgium,2020-01-01,2602
Belgium,2020-01-02,3542
Belgium,2020-01-03,2723
Belgium,2020-01-04,4854
Belgium,2020-01-05,1422
Belgium,2020-01-06,3668
Belgium,2020-01-07,4520
Belgium,2020-01-08,7760
Belgium,2020-01-09,2969
Belgium,2020-01-10,1550
Belgium,2020-01-11,2907
Belgium,2020-01-12,3057
Belgium,2020-01-13,5390
Belgium,2020-01-14,4177
Belgium,2020-01-15,3765
Belgium,2020-01-16,3310
Belgium,2020-01-17,2847
Belgium,2020-01-18,3121
Belgium,2020-01-19,3189
Belgium,2020-01-20,5113
Belgium,2020-01-21,4661
Belgium,2020-01-22,1946
Belgium,2020-01-23,3905
Belgium,2020-01-24,2525
Belgium,2020-01-25,2758
Belgium,2020-01-26,3639
Belgium,2020-01-27,2715
Belgium,2020-01-28,2093
Belgium,2020-01-29,3458
Belgium,2020-01-30,4006
Belgium,2020-01-31,1909
Belize,2019-12-31,943
Belize,2020-01-01,4689
Belize,2020-01-02,3702
Belize,2020-01-03,2081
Belize,2020-01-04,3777
Belize,2020-01-05,4817
Belize,2020-01-06,2547
Belize,2020-01-07,2818
Belize,2020-01-08,3674
Belize,2020-01-09,4471
Belize,2020-01-10,5641
Belize,2020-01-11,5172
Belize,2020-01-12,2055
Belize,2020-01-13,2107
Belize,2020-01-14,2489
Belize,2020-01-15,3705
Belize,2020-01-16,3128
Belize,2020-01-17,3438
Belize,2020-01-18,3926
Belize,2020-01-19,3361
Belize,2020-01-20,5346
Belize,2020-01-21,2894
Belize,2020-01-22,2832
Belize,2020-01-23,3414
Belize,2020-01-24,2545
Belize,2020-01-25,2324
Belize,2020-01-26,3418
Belize,2020-01-27,2838
Belize,2020-01-28,1755
Belize,2020-01-29,3449
Belize,2020-01-30,2723
Belize,2020-01-31,2649
Benin,2019-12-31,864
Benin,2020-01-01,3127
Benin,2020-01-02,2919
Benin,2020-01-03,2238
Benin,2020-01-04,3876
Benin,2020-01-05,1768
Benin,2020-01-06,2824
Benin,2020-01-07,2355
Benin,2020-01-08,2097
Benin,2020-01-09,3635
Benin,2020-01-10,1629
Benin,2020-01-11,5161
Benin,2020-01-12,4177
Benin,2020-01-13,3047
Benin,2020-01-14,4600
Benin,2020-01-15,2205
Benin,2020-01-16,3220
Benin,2020-01-17,1561
Benin,2020-01-18,2309
Benin,2020-01-19,3912
Benin,2020-01-20,1598
Benin,2020-01-21,3362
Benin,2020-01-22,2005
Benin,2020-01-23,3490
Benin,2020-01-24,4316
Benin,2020-01-25,2582
Benin,2020-01-26,3353
Benin,2020-01-27,2347
Benin,2020-01-28,2256
Benin,2020-01-29,4760
Benin,2020-01-30,2632
Benin,2020-01-31,2231
Bermuda,2019-12-31,64
Bermuda,2020-01-01,4024
Bermuda,2020-01-02,3847
Bermuda,2020-01-03,2695
Bermuda,2020-01-04,1576
Bermuda,2020-01-05,3941
Bermuda,2020-01-06,2723
Bermuda,2020-01-07,5417
Bermuda,2020-01-08,3022
Bermuda,2020-01-09,2808
Bermuda,2020-01-10,4902
Bermuda,2020-01-11,3266
Bermuda,2020-01-12,3974
Bermuda,2020-01-13,1653
Bermuda,2020-01-14,3144
Bermuda,2020-01-15,3028
Bermuda,2020-01-16,3869
Bermuda,2020-01-17,3855
Bermuda,2020-01-18,4615
Bermuda,2020-01-19,3244
Bermuda,2020-01-20,2056
Bermuda,2020-01-21,2827
Bermuda,2020-01-22,1316
Bermuda,2020-01-23,3839
Bermuda,2020-01-24,2508
Bermuda,2020-01-25,3421
Bermuda,2020-01-26,6865
Bermuda,2020-01-27,4123
Bermuda,2020-01-28,3241
Bermuda,2020-01-29,3950
Bermuda,2020-01-30,2078
Bermuda,2020-01-31,4783
Bhutan,2019-12-31,382
Bhutan,2020-01-01,1660
Bhutan,2020-01-02,2523
Bhutan,2020-01-03,2043
Bhutan,2020-01-04,4915
Bhutan,2020-01-05,3813
Bhutan,2020-01-06,2209
Bhutan,2020-01-07,3634
Bhutan,2020-01-08,3414
Bhutan,2020-01-09,3460
Bhutan,2020-01-10,1548
Bhutan,2020-01-11,3660
Bhutan,2020-01-12,3981
Bhutan,2020-01-13,2657
Bhutan,2020-01-14,4557
Bhutan,2020-01-15,3710
Bhutan,2020-01-16,2755
Bhutan,2020-01-17,2568
Bhutan,2020-01-18,3368
Bhutan,2020-01-19,4321
Bhutan,2020-01-20,4195
Bhutan,2020-01-21,3526
Bhutan,2020-01-22,3543
Bhutan,2020-01-23,4231
Bhutan,2020-01-24,2931
Bhutan,2020-01-25,3346
Bhutan,2020-01-26,4449
Bhutan,2020-01-27,2906
Bhutan,2020-01-28,3511
Bhutan,2020-01-29,2409
Bhutan,2020-01-30,3712
Bhutan,2020-01-31,2111
Bolivia,2019-12-31,1591
Bolivia,2020-01-01,2231
Bolivia,2020-01-02,2625
Bolivia,2020-01-03,2623
Bolivia,2020-01-04,2849
Bolivia,2020-01-05,3423
Bolivia,2020-01-06,2133
Bolivia,2020-01-07,3199
Bolivia,2020-01-08,4409
Bolivia,2020-01-09,2526
Bolivia,2020-01-10,2212
Bolivia,2020-01-11,2432
Bolivia,2020-01-12,3891
Bolivia,2020-01-13,2215
Bolivia,2020-01-14,2030
Bolivia,2020-01-15,3798
Bolivia,2020-01-16,2921
Bolivia,2020-01-17,6461
Bolivia,2020-01-18,2682
Bolivia,2020-01-19,2714
Bolivia,2020-01-20,3038
Bolivia,2020-01-21,2757
Bolivia,2020-01-22,3436
Bolivia,2020-01-23,4455
Bolivia,2020-01-24,2500
Bolivia,2020-01-25,2145
Bolivia,2020-01-26,3252
Bolivia,2020-01-27,2363
Bolivia,2020-01-28,5007
Bolivia,2020-01-29,3614
Bolivia,2020-01-30,2370
Bolivia,2020-01-31,1325
Bosnia and Herzegovina,2019-12-31,706
Bosnia and Herzegovina,2020-01-01,3450
Bosnia and Herzegovina,2020-01-02,3853
Bosnia and Herzegovina,2020-01-03,4251
Bosnia and Herzegovina,2020-01-04,3420
Bosnia and Herzegovina,2020-01-05,2276
Bosnia and Herzegovina,2020-01-06,2125
Bosnia and Herzegovina,2020-01-07,2891
Bosnia and Herzegovina,2020-01-08,2371
Bosnia and Herzegovina,2020-01-09,2576
Bosnia and Herzegovina,2020-01-10,3184
Bosnia and Herzegovina,2020-01-11,2102
Bosnia and Herzegovina,2020-01-12,3760
Bosnia and Herzegovina,2020-01-13,3745
Bosnia and Herzegovina,2020-01-14,2261
Bosnia and Herzegovina,2020-01-15,3923
Bosnia and Herzegovina,2020-01-16,3118
Bosnia and Herzegovina,2020-01-17,2839
Bosnia and Herzegovina,2020-01-18,4304
Bosnia and Herzegovina,2020-01-19,4268
Bosnia and Herzegovina,2020-01-20,3651
Bosnia and Herzegovina,2020-01-21,4111
Bosnia and Herzegovina,2020-01-22,2840
Bosnia and Herzegovina,2020-01-23,3155
Bosnia and Herzegovina,2020-01-24,2507
Bosnia and Herzegovina,2020-01-25,1798
Bosnia and Herzegovina,2020-01-26,3295
Bosnia and Herzegovina,2020-01-27,3777
Bosnia and Herzegovina,2020-01-28,2417
Bosnia and Herzegovina,2020-01-29,2779
Bosnia and Herzegovina,2020-01-30,4180
Bosnia and Herzegovina,2020-01-31,4005
Botswana,2019-12-31,1071
Botswana,2020-01-01,1299
Botswana,2020-01-02,3489
Botswana,2020-01-03,3175
Botswana,2020-01-04,2543
Botswana,2020-01-05,3539
Botswana,2020-01-06,1549
Botswana,2020-01-07,2778
Botswana,2020-01-08,3718
Botswana,2020-01-09,2520
Botswana,2020-01-10,2691
Botswana,2020-01-11,2826
Botswana,2020-01-12,3379
Botswana,2020-01-13,4548
Botswana,2020-01-14,3498
Botswana,2020-01-15,3232
Botswana,2020-01-16,4458
Botswana,2020-01-17,6590
