Song,Date,Number of Plays
Bahamas,2020-01-24,132
Cayman Islands,2019-12-31,385
Burundi,2020-01-29,462
Bangladesh,2020-01-16,427
Singapore,2020-01-28,432
Falkland Islands (Malvinas),2020-01-04,125
Ghana,2020-01-25,288
Djibouti,2020-01-14,85
Somalia,2020-01-24,48
Anguilla,2020-01-28,74
South Georgia and the South Sandwich Islands,2020-01-21,428
Bangladesh,2020-01-20,376
San Marino,2020-01-14,102
Jordan,2020-01-20,270
Paraguay,2020-01-29,237
"Korea, Democratic People""S Republic of",2020-01-23,400
"Micronesia, Federated States of",2020-01-23,122
Finland,2020-01-16,189
Finland,2020-01-10,94
Bhutan,2020-01-15,258
Samoa,2020-01-31,153
Honduras,2020-01-14,330
Uganda,2020-01-26,395
Viet Nam,2020-01-10,224
Algeria,2020-01-05,298
Bermuda,2020-01-05,410
Turkey,2020-01-29,336
Tokelau,2020-01-31,328
El Salvador,2020-01-22,33
Myanmar,2020-01-15,350
Saint Lucia,2020-01-28,376
Jamaica,2020-01-10,437
Eritrea,2020-01-20,4
Mozambique,2020-01-15,19
French Guiana,2020-01-27,106
Poland,2020-01-30,156
Argentina,2020-01-04,326
Estonia,2020-01-27,169
Brunei Darussalam,2020-01-06,290
Niger,2020-01-29,496
Ireland,2020-01-16,483
Saint Kitts and Nevis,2020-01-29,317
Aruba,2020-01-19,46
Czech Republic,2020-01-31,437
Timor-Leste,2020-01-27,486
Gabon,2020-01-03,295
Comoros,2020-01-14,60
Poland,2020-01-25,326
Greenland,2020-01-22,417
Gabon,2020-01-14,294
Japan,2020-01-30,293
Serbia and Montenegro,2020-01-28,128
Japan,2020-01-21,39
Gibraltar,2020-01-06,490
Antarctica,2020-01-05,448
Reunion,2020-01-14,263
Philippines,2020-01-18,328
Gabon,2020-01-15,210
Togo,2020-01-11,358
Heard Island and Mcdonald Islands,2020-01-30,85
Congo,2020-01-24,167
Åland Islands,2020-01-30,150
"Korea, Democratic People""S Republic of",2020-01-07,163
Malaysia,2020-01-21,166
Singapore,2020-01-29,300
"Iran, Islamic Republic Of",2020-01-10,219
Lithuania,2020-01-25,79
Sierra Leone,2020-01-22,299
Tokelau,2020-01-12,419
Macao,2020-01-02,429
Lithuania,2020-01-03,34
Turkey,2020-01-03,424
Martinique,2020-01-08,231
Angola,2020-01-01,129
Bouvet Island,2020-01-15,12
French Guiana,2020-01-10,395
French Southern Territories,2020-01-02,456
Madagascar,2020-01-27,271
Dominica,2020-01-07,494
Cambodia,2020-01-23,344
Lithuania,2020-01-15,61
Anguilla,2020-01-01,445
Cambodia,2020-01-11,291
Slovenia,2020-01-19,211
Azerbaijan,2020-01-06,8
Eritrea,2020-01-10,60
United Kingdom,2020-01-03,386
Saint Lucia,2020-01-18,480
"Moldova, Republic of",2020-01-31,188
Norfolk Island,2020-01-27,201
French Guiana,2020-01-27,79
Bouvet Island,2020-01-15,142
Macao,2020-01-19,196
Bangladesh,2020-01-09,184
Cambodia,2020-01-15,4
Azerbaijan,2020-01-16,119
Jordan,2020-01-17,402
Singapore,2020-01-15,32
Bolivia,2020-01-06,105
Sao Tome and Principe,2020-01-24,203
French Guiana,2020-01-30,375
Martinique,2020-01-09,284
Ethiopia,2020-01-27,485
Bulgaria,2020-01-27,365
Holy See (Vatican City State),2020-01-09,335
Fiji,2020-01-11,21
Trinidad and Tobago,2020-01-09,493
Bahamas,2020-01-10,426
Myanmar,2020-01-06,138
Macao,2020-01-16,319
Hungary,2020-01-20,60
Kazakhstan,2020-01-06,403
Denmark,2020-01-12,413
American Samoa,2020-01-20,72
Papua New Guinea,2020-01-27,252
Bulgaria,2020-01-03,314
Saudi Arabia,2020-01-03,73
Jordan,2020-01-17,87
Qatar,2020-01-13,124
Panama,2020-01-29,105
Angola,2020-01-07,346
Gambia,2020-01-31,79
Afghanistan,2020-01-10,184
Belgium,2020-01-24,140
Colombia,2020-01-14,287
Bolivia,2020-01-01,179
Vanuatu,2020-01-30,153
New Zealand,2020-01-24,21
Morocco,2020-01-26,17
Mayotte,2020-01-10,289
Anguilla,2020-01-24,385
Togo,2020-01-23,287
Tajikistan,2020-01-27,245
Cape Verde,2020-01-11,286
Austria,2020-01-04,406
Mongolia,2020-01-10,277
Nigeria,2020-01-04,26
Tonga,2020-01-24,115
Vanuatu,2020-01-14,476
Spain,2020-01-07,368
Mauritius,2020-01-29,26
Sierra Leone,2020-01-18,468
Switzerland,2020-01-15,438
Netherlands,2020-01-17,255
Malawi,2020-01-18,152
Philippines,2020-01-16,401
Myanmar,2020-01-18,416
French Southern Territories,2020-01-24,289
Montserrat,2020-01-20,355
Sierra Leone,2020-01-03,462
Malawi,2020-01-26,93
Christmas Island,2020-01-13,191
Hong Kong,2020-01-19,146
Austria,2020-01-25,205
Lithuania,2020-01-22,4
Nigeria,2020-01-03,456
Antarctica,2020-01-22,117
Haiti,2020-01-23,266
Barbados,2020-01-02,176
El Salvador,2020-01-17,465
Cook Islands,2020-01-02,3
Poland,2020-01-13,155
Tonga,2020-01-20,164
Ecuador,2020-01-05,204
Bulgaria,2020-01-23,340
French Guiana,2020-01-29,51
Fiji,2020-01-07,451
Western Sahara,2020-01-19,345
Svalbard and Jan Mayen,2020-01-05,47
Paraguay,2020-01-06,286
"Cote D""Ivoire",2020-01-19,425
Niger,2020-01-05,225
Greece,2020-01-04,437
Thailand,2020-01-28,42
Hong Kong,2020-01-24,292
Maldives,2020-01-02,227
Tokelau,2020-01-05,51
Haiti,2020-01-01,12
Austria,2020-01-26,306
Mali,2020-01-22,246
Sao Tome and Principe,2020-01-14,445
Mali,2020-01-09,393
Singapore,2020-01-26,114
Cocos (Keeling) Islands,2020-01-11,153
Germany,2020-01-14,400
French Guiana,2020-01-29,368
Congo,2020-01-16,405
Belgium,2020-01-20,381
Lebanon,2020-01-11,477
"Tanzania, United Republic of",2020-01-21,122
Saudi Arabia,2020-01-01,472
Mali,2020-01-30,317
Jersey,2020-01-03,17
Myanmar,2020-01-16,420
Lithuania,2020-01-11,220
Ecuador,2020-01-31,250
Åland Islands,2020-01-22,80
Colombia,2020-01-29,418
Svalbard and Jan Mayen,2020-01-18,63
Ghana,2020-01-13,395
Lithuania,2020-01-30,488
Sudan,2020-01-08,453
Nepal,2020-01-05,423
Tunisia,2020-01-10,46
Guinea-Bissau,2020-01-01,125
Falkland Islands (Malvinas),2020-01-15,358
Qatar,2020-01-30,120
Saudi Arabia,2020-01-18,382
New Zealand,2020-01-05,466
Portugal,2020-01-08,296
South Africa,2020-01-08,110
Gibraltar,2020-01-13,252
South Georgia and the South Sandwich Islands,2020-01-28,433
Japan,2020-01-15,498
Belarus,2020-01-28,265
Saint Lucia,2020-01-15,315
Burkina Faso,2020-01-31,470
"Korea, Democratic People""S Republic of",2020-01-20,405
Bosnia and Herzegovina,2020-01-18,220
French Polynesia,2020-01-29,118
Tokelau,2020-01-31,238
Seychelles,2020-01-07,241
Tuvalu,2020-01-03,255
Niger,2020-01-24,271
Iceland,2020-01-30,8
Guadeloupe,2020-01-22,174
Jamaica,2020-01-23,409
AndorrA,2020-01-24,277
"Cote D""Ivoire",2020-01-25,52
"Iran, Islamic Republic Of",2020-01-27,25
Angola,2020-01-06,437
Saint Kitts and Nevis,2020-01-21,100
Qatar,2020-01-15,241
Honduras,2020-01-05,423
"Moldova, Republic of",2020-01-09,292
Cocos (Keeling) Islands,2020-01-13,171
Saint Helena,2020-01-17,228
"Virgin Islands, British",2020-01-21,304
Iraq,2020-01-16,331
Bosnia and Herzegovina,2020-01-29,479
Seychelles,2020-01-27,202
Australia,2020-01-19,433
Sweden,2020-01-27,24
Saint Lucia,2020-01-15,18
Kiribati,2020-01-27,104
Northern Mariana Islands,2020-01-12,310
Guinea,2020-01-02,110
"Congo, The Democratic Republic of the",2020-01-05,470
Solomon Islands,2020-01-23,27
Kyrgyzstan,2020-01-02,497
Jersey,2020-01-31,280
Uzbekistan,2020-01-11,180
Ecuador,2020-01-08,94
Grenada,2020-01-20,270
Zambia,2020-01-16,382
Yemen,2020-01-18,451
"Virgin Islands, British",2020-01-19,407
Chad,2020-01-16,419
Cape Verde,2020-01-04,474
Slovenia,2020-01-10,74
Slovakia,2020-01-22,437
Vanuatu,2020-01-22,22
Syrian Arab Republic,2020-01-17,22
Liberia,2020-01-09,196
United Kingdom,2020-01-05,499
"Tanzania, United Republic of",2020-01-18,484
"Korea, Republic of",2020-01-20,87
Tunisia,2020-01-14,262
Serbia and Montenegro,2020-01-30,469
Poland,2020-01-13,219
United States Minor Outlying Islands,2020-01-28,327
Afghanistan,2020-01-27,326
"Virgin Islands, U.S.",2020-01-31,267
Jamaica,2020-01-08,242
Saint Vincent and the Grenadines,2020-01-15,286
Italy,2020-01-16,429
Viet Nam,2020-01-18,76
Aruba,2020-01-11,352
Congo,2020-01-01,245
Samoa,2020-01-18,346
Syrian Arab Republic,2020-01-26,123
Guatemala,2020-01-13,268
Norfolk Island,2020-01-04,309
Belize,2020-01-19,199
Israel,2020-01-20,364
Ecuador,2020-01-15,126
Namibia,2020-01-15,258
Saint Lucia,2020-01-12,459
Gabon,2020-01-07,154
Honduras,2020-01-19,288
Central African Republic,2020-01-04,153
Sweden,2020-01-08,113
Samoa,2020-01-21,455
Saudi Arabia,2020-01-16,90
Swaziland,2020-01-13,436
Mayotte,2020-01-22,148
Timor-Leste,2020-01-16,370
Macao,2020-01-23,405
Niger,2020-01-25,60
Guinea,2020-01-03,64
Mauritius,2020-01-20,113
"Lao People""S Democratic Republic",2020-01-27,377
Netherlands Antilles,2020-01-31,25
Cuba,2020-01-29,271
Myanmar,2020-01-27,206
Romania,2020-01-04,94
"Virgin Islands, U.S.",2020-01-20,96
Kiribati,2020-01-01,411
Bosnia and Herzegovina,2020-01-03,82
Romania,2020-01-19,309
"Micronesia, Federated States of",2020-01-26,260
Macao,2020-01-21,299
RWANDA,2020-01-08,92
Guatemala,2020-01-02,117
Canada,2020-01-22,308
American Samoa,2020-01-13,362
Japan,2020-01-07,20
Slovenia,2020-01-30,380
Guinea-Bissau,2020-01-14,421
Algeria,2020-01-01,33
Svalbard and Jan Mayen,2020-01-13,409
Monaco,2020-01-26,310
Portugal,2020-01-17,112
Kenya,2020-01-24,437
Faroe Islands,2020-01-29,101
Peru,2020-01-01,93
Saint Lucia,2020-01-21,171
Eritrea,2020-01-27,248
United Kingdom,2020-01-01,437
Norway,2020-01-22,42
Cuba,2020-01-21,358
Solomon Islands,2020-01-25,25
Libyan Arab Jamahiriya,2020-01-26,30
Djibouti,2020-01-10,297
Cape Verde,2020-01-18,223
Greece,2020-01-13,15
Hungary,2020-01-05,463
Mayotte,2020-01-01,199
Yemen,2020-01-22,435
Belgium,2020-01-27,359
Guernsey,2020-01-11,186
Monaco,2020-01-16,39
Finland,2020-01-31,46
Lebanon,2020-01-26,432
Mauritania,2020-01-01,228
Saint Lucia,2020-01-06,251
Burundi,2020-01-05,123
Isle of Man,2020-01-07,35
Kazakhstan,2020-01-14,26
Bangladesh,2020-01-02,71
Serbia and Montenegro,2020-01-01,212
Reunion,2020-01-16,151
Uzbekistan,2020-01-10,101
Ukraine,2020-01-28,37
Bahrain,2020-01-13,251
Suriname,2020-01-26,265
"Tanzania, United Republic of",2020-01-23,336
San Marino,2020-01-02,181
France,2020-01-23,452
"Lao People""S Democratic Republic",2020-01-25,121
El Salvador,2020-01-01,309
Vanuatu,2020-01-01,146
Libyan Arab Jamahiriya,2020-01-27,384
Nepal,2020-01-28,22
Uzbekistan,2020-01-03,342
United States,2020-01-29,401
Portugal,2020-01-20,98
Heard Island and Mcdonald Islands,2020-01-17,118
Mali,2020-01-16,143
Finland,2020-01-20,450
Timor-Leste,2019-12-31,244
Russian Federation,2020-01-06,153
Fiji,2020-01-29,10
Reunion,2020-01-08,405
Antarctica,2020-01-15,113
Cambodia,2020-01-28,381
Guyana,2020-01-24,241
Western Sahara,2020-01-18,228
El Salvador,2020-01-28,235
Portugal,2020-01-19,430
Austria,2020-01-26,416
Kazakhstan,2020-01-07,322
Gambia,2020-01-05,52
Suriname,2020-01-17,419
Nauru,2020-01-27,116
Sri Lanka,2020-01-16,159
Viet Nam,2020-01-19,487
Sri Lanka,2020-01-21,283
"Palestinian Territory, Occupied",2020-01-29,171
Uruguay,2020-01-17,409
Singapore,2020-01-14,408
Austria,2020-01-23,496
Antarctica,2020-01-23,195
Iceland,2020-01-07,482
Afghanistan,2020-01-27,249
"Korea, Republic of",2020-01-10,80
Poland,2020-01-18,131
Martinique,2020-01-10,482
Portugal,2020-01-02,233
Italy,2020-01-23,339
Falkland Islands (Malvinas),2020-01-30,275
Monaco,2020-01-10,355
El Salvador,2020-01-31,366
South Africa,2020-01-09,91
Albania,2020-01-29,208
RWANDA,2020-01-04,125
Mali,2020-01-20,264
Guyana,2020-01-08,217
Bosnia and Herzegovina,2020-01-31,207
Haiti,2020-01-30,398
Comoros,2020-01-28,353
Malta,2020-01-28,130
Argentina,2020-01-31,222
Angola,2020-01-18,433
Gambia,2020-01-26,103
Ukraine,2020-01-23,256
South Georgia and the South Sandwich Islands,2020-01-08,217
Senegal,2020-01-09,138
Belgium,2020-01-08,250
Tokelau,2020-01-05,438
Indonesia,2020-01-29,7
Samoa,2020-01-03,405
Guinea,2020-01-06,324
Mali,2020-01-06,25
Kyrgyzstan,2020-01-17,253
Yemen,2020-01-30,177
Turkmenistan,2020-01-09,18
Nigeria,2020-01-26,44
Kiribati,2020-01-19,68
Ireland,2020-01-23,77
Luxembourg,2020-01-23,45
Svalbard and Jan Mayen,2020-01-29,107
Cyprus,2020-01-24,460
Georgia,2020-01-17,303
Zambia,2020-01-18,488
American Samoa,2020-01-10,225
Western Sahara,2020-01-04,257
Singapore,2020-01-07,234
Hungary,2020-01-17,277
Peru,2020-01-18,447
Norway,2020-01-15,400
Cameroon,2020-01-11,190
"Congo, The Democratic Republic of the",2020-01-06,488
"Cote D""Ivoire",2020-01-03,214
Kyrgyzstan,2020-01-22,211
Guinea-Bissau,2020-01-18,260
British Indian Ocean Territory,2020-01-11,192
Afghanistan,2020-01-31,393
Bangladesh,2020-01-12,25
Latvia,2020-01-01,198
Burundi,2020-01-30,131
Guyana,2020-01-14,27
Israel,2020-01-15,89
Saint Pierre and Miquelon,2020-01-15,472
Algeria,2020-01-31,343
Barbados,2020-01-24,277
Morocco,2020-01-24,27
Tokelau,2020-01-26,277
Guernsey,2020-01-15,387
Montserrat,2020-01-04,125
Kiribati,2020-01-23,489
United States Minor Outlying Islands,2020-01-13,261
Liechtenstein,2020-01-14,216
Algeria,2020-01-27,63
Slovenia,2020-01-20,202
Nigeria,2020-01-16,198
Portugal,2020-01-09,274
"Iran, Islamic Republic Of",2020-01-10,440
Central African Republic,2020-01-14,246
Fiji,2020-01-15,413
Bahamas,2020-01-08,433
Trinidad and Tobago,2020-01-09,446
Estonia,2020-01-13,87
United Kingdom,2020-01-01,464
"Iran, Islamic Republic Of",2020-01-09,416
Mauritius,2020-01-17,407
Bulgaria,2019-12-31,311
Jersey,2020-01-28,425
Costa Rica,2020-01-14,341
Netherlands,2020-01-10,104
Cambodia,2020-01-15,490
Dominican Republic,2020-01-22,9
Barbados,2020-01-20,430
Faroe Islands,2020-01-19,205
Honduras,2020-01-16,417
Viet Nam,2020-01-01,136
Tuvalu,2020-01-18,234
New Caledonia,2020-01-27,74
Suriname,2020-01-28,68
Cyprus,2020-01-25,356
Cambodia,2020-01-30,407
American Samoa,2020-01-08,8
Hungary,2020-01-03,85
Armenia,2020-01-11,78
Aruba,2020-01-11,108
Guyana,2020-01-22,142
"Moldova, Republic of",2020-01-10,1
Pakistan,2020-01-02,412
Ireland,2020-01-07,78
Trinidad and Tobago,2020-01-20,182
Saint Pierre and Miquelon,2020-01-04,462
Tuvalu,2020-01-09,262
Ethiopia,2020-01-29,300
Falkland Islands (Malvinas),2020-01-04,327
Eritrea,2020-01-22,48
"Korea, Democratic People""S Republic of",2020-01-23,309
Dominican Republic,2020-01-25,49
"Cote D""Ivoire",2020-01-01,490
Macao,2020-01-18,138
Libyan Arab Jamahiriya,2020-01-06,49
Antigua and Barbuda,2020-01-28,453
Saudi Arabia,2020-01-06,387
Bolivia,2020-01-23,330
Bolivia,2020-01-24,246
Marshall Islands,2020-01-17,92
Netherlands Antilles,2020-01-21,242
El Salvador,2020-01-06,38
Gabon,2020-01-19,316
"Virgin Islands, U.S.",2020-01-06,391
Haiti,2020-01-07,164
Thailand,2020-01-09,430
Fiji,2020-01-07,129
Martinique,2020-01-11,115
Cambodia,2020-01-31,52
Gambia,2020-01-23,28
France,2020-01-17,176
Luxembourg,2020-01-16,347
Cocos (Keeling) Islands,2020-01-08,5
Yemen,2020-01-31,262
Sweden,2020-01-05,164
Kuwait,2020-01-10,488
Niue,2020-01-21,128
Bulgaria,2020-01-01,166
Ireland,2020-01-29,226
Cook Islands,2020-01-10,342
Argentina,2020-01-18,233
Uganda,2020-01-07,22
Gambia,2020-01-13,485
Chad,2020-01-30,491
Bahrain,2020-01-06,79
Luxembourg,2020-01-18,256
"Cote D""Ivoire",2020-01-15,324
Kiribati,2020-01-15,179
Singapore,2020-01-17,263
Azerbaijan,2020-01-04,178
Cambodia,2020-01-28,287
Sudan,2020-01-05,289
South Georgia and the South Sandwich Islands,2020-01-02,481
Dominica,2020-01-11,403
Austria,2020-01-26,183
South Africa,2020-01-16,151
"Lao People""S Democratic Republic",2020-01-16,130
Guatemala,2020-01-19,425
Bhutan,2020-01-01,242
Northern Mariana Islands,2020-01-14,466
San Marino,2020-01-03,7
Svalbard and Jan Mayen,2020-01-23,342
Puerto Rico,2020-01-05,20
Kenya,2020-01-21,146
Trinidad and Tobago,2020-01-01,373
Chad,2020-01-12,484
Algeria,2020-01-21,360
Djibouti,2020-01-23,217
Viet Nam,2020-01-18,450
Comoros,2020-01-26,59
Angola,2020-01-26,333
