Song,Date,Number of Plays
Saskatoon,2020-05-07,1974
Gdańsk,2020-01-23,1553
Cologne,2020-03-14,964
Shenzhen,2020-01-19,1725
Albuquerque,2020-02-10,953
Nairobi,2020-01-28,665
Koulikoro,2020-04-19,1916
Atlanta,2020-03-27,1431
Yangon,2020-04-17,1480
Antwerp,2020-05-12,1144
Seville,2020-01-03,155
Palikir,2020-02-13,353
Nashville,2020-02-18,992
Chongqing,2020-05-18,896
Singapore,2020-03-12,1764
Guatemala City,2020-03-30,1575
Charlotte Amalie,2020-03-14,1015
Sydney,2020-04-30,670
Gibraltar,2020-05-10,1397
Suva,2020-04-04,1809
Lusaka,2020-05-25,641
San Carlos de Bariloche,2020-04-12,194
Bandar Seri Begawan,2020-01-10,1341
Whitehorse,2020-04-16,397
Budapest,2020-05-06,361
Jakarta,2020-03-30,1092
Los Angeles,2020-05-18,1658
Belize City,2020-05-23,401
Abu Dhabi,2020-01-28,1935
Harbin,2020-05-18,1039
Madrid,2020-04-28,1435
Singapore,2020-05-03,354
Montreal,2020-03-19,1656
Leeds,2020-02-09,1612
Athens,2020-04-08,336
Majuro,2020-01-29,1565
Surabaya,2020-03-24,1597
Leipzig,2020-03-08,743
Taichung,2020-01-22,150
Puebla,2020-03-12,518
Taiyuan,2020-02-22,1552
Malang,2020-05-01,1371
Jerusalem,2020-03-14,162
Kuching,2020-02-13,668
Sucre,2020-02-21,1662
Manama,2020-04-23,322
Cannes,2020-01-29,762
Gaborone,2020-02-05,270
Port of Spain,2020-01-31,805
Lilongwe,2020-03-04,585
Yekaterinburg,2020-02-16,1787
Padang,2020-04-06,1362
Melbourne,2020-05-09,981
Asmara,2020-01-26,642
Mersin,2020-04-24,416
Fort-de-France,2020-02-10,1885
Toronto,2020-01-08,216
Taichung,2020-01-21,827
Pelotas,2020-02-10,268
New Orleans,2020-05-21,1746
Tucson,2020-02-23,1501
Konya,2020-01-13,1011
Abu Dhabi,2020-04-23,1333
Arbil,2020-02-27,1369
St. Louis,2020-05-06,717
Tirana,2020-05-27,1694
Gdańsk,2020-03-18,956
Khartoum,2020-03-09,995
Phnom Penh,2020-03-06,1902
Guadalajara,2020-05-19,739
Dededo,2020-04-27,1179
Taichung,2020-01-15,232
Antwerp,2020-02-17,1227
Malacca Town,2020-03-13,1337
Istanbul,2020-05-08,1171
Maseru,2020-04-14,1300
St. John's,2020-01-29,405
Bishkek,2020-02-16,896
Dunedin,2020-02-21,1046
Porto,2020-02-20,899
Mbabane,2020-03-02,1725
Baltimore,2020-03-30,1910
Skopje,2020-02-10,1127
Huế,2020-04-23,1009
Anchorage,2020-05-10,155
Graz,2020-05-23,1759
Bratislava,2020-02-02,1121
Basse-Terre,2020-02-12,489
Castries,2020-02-28,567
Honolulu,2020-05-06,1444
Minneapolis,2020-04-22,610
Tripoli,2020-03-29,544
Montevideo,2020-01-03,1060
Forked River,2020-02-10,1705
San Diego,2020-04-27,1512
Tripoli,2020-03-24,918
Jamestown,2020-02-06,389
Budapest,2020-04-28,1164
Quezon City,2020-01-05,994
Vancouver,2020-03-28,1649
Riga,2020-01-16,1420
Detroit,2020-03-22,388
Tabriz,2020-03-14,352
Bujumbura,2020-02-22,1675
Cusco,2020-04-29,874
Louisville,2020-04-02,681
Port Blair,2020-05-23,1339
Dar es Salaam,2020-01-06,282
Bissau,2020-04-26,835
Vatican City,2020-01-05,221
Ljubljana,2020-04-01,931
Horta (Azores),2020-02-05,670
Odessa,2020-02-19,202
Sana'a,2020-01-27,1234
Minsk,2020-05-30,177
Kaesong,2020-05-28,185
Bandung,2020-02-19,972
Zamboanga City,2020-03-05,1151
Toronto,2020-03-11,1407
Santa Cruz de la Sierra,2020-04-07,793
Anchorage,2020-04-02,300
Porto-Novo,2020-03-19,577
Raleigh,2020-05-01,422
Albuquerque,2020-01-29,361
Rotterdam,2020-03-09,1694
St. Louis,2020-04-16,846
Antwerp,2020-03-24,494
Asmara,2020-03-29,558
La Serena,2020-05-05,198
Tskhinvali,2020-03-02,343
Yaren District,2020-05-09,493
Yekaterinburg,2020-01-22,197
Melbourne,2020-05-09,199
Philadelphia,2020-01-30,761
Kraków,2020-02-16,1231
Siem Reap,2020-02-17,1314
Seattle,2020-02-14,1975
Khartoum,2020-04-04,241
Austin,2020-01-27,442
Dili,2020-04-26,153
Multan,2020-02-12,884
Charlotte Amalie,2020-04-09,1304
Detroit,2020-05-11,823
Rio Branco,2020-02-02,1718
Geelong,2020-01-12,338
Rawalpindi,2020-02-25,1499
Da Nang,2020-02-26,620
Honolulu,2020-02-11,804
Qingdao,2020-03-15,1993
Tabriz,2020-03-11,917
Padang,2020-01-03,1350
N'Djamena,2020-04-10,598
Fukuoka,2020-04-22,1458
Chongqing,2020-02-15,1837
Ahmedabad,2020-05-05,351
Yangon,2020-01-24,1216
Hat Yai,2020-02-09,1730
San José,2020-05-31,1156
Chuí,2020-03-01,334
Phuket (city),2020-03-14,1576
Chuí,2020-02-05,1404
Las Palmas de Gran Canaria,2020-01-10,1512
Saint-Pierre,2020-04-01,725
Maceió,2020-01-17,1084
Lyon,2020-04-26,1853
Lucknow,2020-02-25,1706
Chongjin,2020-04-08,1286
Taipei,2020-03-01,253
Baltimore,2020-04-28,574
Pattaya,2020-02-06,1698
Leipzig,2020-05-14,470
Paramaribo,2020-03-22,1266
La Serena,2020-01-04,1828
Saint John,2020-03-03,1147
Chengdu,2020-01-13,835
Kabul,2020-04-07,1900
Tegucigalpa,2020-04-18,296
Makassar,2020-03-05,1954
Nukulaelae,2020-02-13,657
Rome,2020-05-18,510
Perth,2020-01-02,1599
Mersin,2020-05-13,1493
Antofagasta,2020-01-05,1040
Colombo,2020-04-28,1058
Singapore,2020-01-27,345
Sukhumi,2020-03-03,1672
Brisbane,2020-04-11,1621
Gothenburg,2020-01-31,330
Medellín,2020-01-13,1564
Tórshavn,2020-04-21,1526
Mexicali,2020-04-25,756
Changchun,2019-12-31,1397
Multan,2020-01-04,544
Raleigh,2020-05-05,1110
Udon Thani,2020-03-09,1225
Tartu,2020-02-14,1435
Taichung,2020-02-10,1399
Palma,2020-03-22,165
Port Louis,2020-02-23,560
Avarua,2020-05-14,1901
Hamburg,2020-02-09,437
Papeete,2020-01-21,1866
Shillong,2020-03-11,686
Gibraltar,2020-05-19,1595
Yamoussoukro,2020-02-06,173
Los Angeles,2020-04-03,1073
Manila,2020-04-02,817
Buenos Aires,2020-01-27,1277
Punta Arenas,2020-03-05,161
Ho Chi Minh City,2020-02-12,1085
Davao City,2020-03-10,1863
Cockburn Town,2020-03-09,1426
Honolulu,2020-03-06,594
George Town,2020-05-14,434
Xining,2020-02-27,1540
Ouagadougou,2020-03-05,929
Cologne,2020-02-27,121
Monaco,2020-05-11,255
Skopje,2020-04-28,1525
Da Nang,2020-03-13,1826
Apia,2020-02-05,104
Kandy,2020-03-29,585
Kaohsiung,2020-03-09,1876
Alor Star,2020-04-12,1843
Manaus,2020-04-11,519
Kawasaki,2020-04-13,155
Toulouse,2020-03-22,133
Alofi,2020-01-20,1509
Santa Cruz de la Sierra,2020-01-18,1487
Copenhagen,2020-02-01,125
Tirana,2020-05-03,340
Banda Aceh,2020-02-25,201
Yakutsk,2020-01-08,369
Bahía Blanca,2020-02-24,1416
Tallinn,2020-03-01,119
Cork (city),2020-01-13,288
São José dos Campos,2020-05-16,1321
Chicago,2020-03-08,222
Seattle,2020-04-15,1175
Tianjin,2020-01-16,1485
Ipoh,2020-02-19,118
Mumbai,2020-04-19,108
São Paulo,2020-03-01,1039
São Tomé,2020-03-06,587
Kawasaki,2020-05-06,354
Nouakchott,2020-02-12,197
Tripoli,2020-02-13,1190
Naypyidaw,2020-01-05,1719
Yekaterinburg,2020-02-12,1945
Mersin,2020-03-03,740
Djibouti (city),2020-04-16,679
Quezon City,2020-03-17,1429
San Juan,2020-03-26,1871
Assis,2020-04-21,762
Ipoh,2020-02-03,1475
Cape Town,2020-02-02,238
Nashville,2020-02-08,1421
Ottawa,2020-05-11,593
Yamoussoukro,2020-01-07,263
Maceió,2020-01-02,1889
Guatemala City,2020-01-17,396
Porto Alegre,2020-05-14,692
Taiyuan,2020-03-01,222
Yangon,2020-03-24,1058
Leipzig,2020-01-01,988
Glasgow,2020-04-13,1192
Pattaya,2020-02-18,682
Ibiza,2020-04-25,399
Brazzaville,2020-01-13,140
Changchun,2020-01-27,1759
Oklahoma City,2020-01-25,1840
San Carlos de Bariloche,2020-03-26,1949
Kuwait City,2020-02-17,1430
Mwanza,2020-04-28,332
Weno,2020-05-01,576
Sacramento,2020-05-06,1976
Tel Aviv,2020-01-09,1963
Riverside,2020-03-25,165
Marrakech,2020-02-28,1923
Iquique,2020-04-09,286
Dar es Salaam,2020-01-10,862
Fortaleza,2020-03-07,1035
Birkirkara,2020-01-02,219
Palma,2020-05-14,985
Mwanza,2020-01-27,129
Angra do Heroísmo,2020-02-18,268
Adak,2020-03-02,1027
Honolulu,2020-05-03,993
Malacca Town,2020-02-13,786
Lusaka,2020-04-02,1385
Bergen,2020-03-22,1632
Kandahar,2020-04-17,1776
New Orleans,2020-05-04,1068
Forked River,2020-05-06,1172
Pekanbaru,2020-05-22,1747
Charlotte,2020-04-21,1173
Kyoto,2020-01-28,1196
Hamburg,2020-01-02,1696
Adamstown,2020-04-12,217
Bridgetown,2020-04-12,764
Port Hedland,2020-04-17,1690
Louisville,2020-05-13,127
Santa Cruz de la Sierra,2020-03-08,1477
Pontianak,2020-02-20,611
Mandurah,2020-01-24,1466
Adelaide,2020-04-24,652
Lubumbashi,2020-02-15,455
Lhasa,2020-04-23,605
The Hague,2020-05-19,1878
Oranjestad,2020-03-02,949
Hamilton,2020-01-10,1039
Douala,2020-04-11,720
Wellington,2020-03-08,1546
Avarua,2020-03-13,1842
Kiev,2020-03-14,816
Basse-Terre,2020-01-24,1719
Hangzhou,2020-02-23,1813
Vatican City,2020-01-28,1724
Yellowknife,2020-02-07,1514
Kingston,2020-05-01,1334
Singapore,2020-05-30,857
London,2020-02-24,1448
Sana'a,2020-01-22,1407
Ilhéus,2020-03-22,437
Blantyre,2020-01-11,1848
Batticaloa,2020-01-17,1220
Dubai,2020-04-17,1373
Nakhon Ratchasima,2020-05-09,196
Buenos Aires,2020-02-04,438
Valparaíso,2020-01-08,1066
Winnipeg,2020-04-14,1153
Buffalo,2020-03-13,399
Rome,2020-04-19,272
Pago Pago,2020-03-16,237
Antofagasta,2020-01-08,541
Palikir,2020-02-10,1483
Tel Aviv,2020-05-13,414
Petropavlovsk-Kamchatsky,2020-03-19,121
Hanga Roa,2020-02-05,1851
Townsville,2020-03-01,1806
San Carlos de Bariloche,2020-05-27,1729
Bandar Seri Begawan,2020-02-16,1890
Adelaide,2020-05-22,780
Manchester,2020-03-28,421
Las Palmas de Gran Canaria,2020-05-20,576
Mogadishu,2020-04-21,436
Leeds,2020-02-01,314
Chuí,2020-04-04,1183
Chittagong,2020-02-06,124
Bamako,2020-03-10,1371
Alofi,2020-04-03,1624
Puerto Williams,2020-03-10,1020
Barranquilla,2020-02-09,855
Sarajevo,2020-04-13,614
Majuro,2020-01-31,1798
Cork (city),2020-05-06,1124
Jersey City,2020-01-06,205
Port Moresby,2020-02-12,1057
Istanbul,2020-01-31,627
Concepción,2020-02-27,1890
Recife,2020-02-02,1229
Ulan Bator,2020-01-07,457
Maputo,2020-01-18,221
Banda Aceh,2020-05-15,1962
Blantyre,2020-01-19,1543
Warsaw,2020-05-16,1212
Port Moresby,2020-02-29,1693
Manchester,2020-05-07,1654
Hargeisa,2020-03-28,806
Omdurman,2020-03-05,335
Castries,2020-02-14,592
Calgary,2020-03-28,151
Multan,2020-01-05,969
Shillong,2020-04-11,1645
Srinagar,2020-05-25,607
Norilsk,2020-01-28,1243
Gaziantep,2020-05-17,1506
Antwerp,2020-03-17,624
San Antonio,2020-01-23,148
Vienna,2020-02-18,1691
Hanoi,2020-03-02,816
Las Palmas de Gran Canaria,2020-01-10,1280
Yakutsk,2020-03-21,1182
Vatican City,2020-04-22,608
Santiago de Cuba,2020-03-31,165
Virginia Beach,2020-02-15,453
Chiang Mai,2020-04-27,517
Dammam,2020-03-07,1274
Novosibirsk,2020-02-12,1953
Xining,2020-03-06,694
Taiyuan,2020-05-03,421
Tel Aviv,2020-01-18,1942
Zürich,2020-03-16,1911
Detroit,2020-03-20,692
Alor Star,2020-03-04,1048
Nairobi,2020-05-08,1964
Gaza,2020-02-28,757
Changchun,2020-02-21,1063
Timbuktu,2020-05-06,838
Incheon,2020-02-15,1048
Nouméa,2020-05-30,1821
Perm,2020-05-25,360
Huế,2020-03-20,1870
Fukuoka,2020-03-28,1949
Tel Aviv,2020-05-10,1050
Huế,2020-02-10,1103
Lviv,2020-04-16,1910
Ibadan,2020-04-22,721
Lucknow,2020-02-19,1255
Hat Yai,2020-01-14,1811
Cannes,2020-04-16,1357
Chaguanas,2020-04-01,1784
Lucknow,2020-02-01,163
Abidjan,2020-03-15,1050
Simferopol,2020-01-13,1878
Miri,2020-02-19,1819
Brussels,2020-03-22,927
Austin,2020-04-24,491
Chittagong,2020-05-01,1752
Dresden,2020-05-05,494
Apia,2020-05-16,1719
Johannesburg,2020-04-11,1503
Manama,2020-01-12,703
Casablanca,2020-01-07,760
Bridgetown,2020-05-15,1557
Petropavlovsk-Kamchatsky,2020-02-26,1255
Winnipeg,2020-04-16,1935
Perm,2020-03-04,1693
Townsville,2020-04-30,1090
City of San Marino,2020-05-10,1370
Kathmandu,2020-01-27,484
Jacksonville,2020-04-13,639
Malé,2020-03-04,806
Kingstown,2020-04-04,519
Dar es Salaam,2020-02-19,1467
Mecca,2020-01-16,1221
Asunción,2020-05-22,510
Ipoh,2020-03-10,1821
Dar es Salaam,2020-03-12,404
Yaren District,2020-01-30,350
Jerusalem,2020-03-20,144
Winnipeg,2020-02-17,1920
Zürich,2020-02-07,743
Cartagena,2020-04-18,859
Vatican City,2020-03-06,1757
Nouakchott,2020-04-01,358
Bamako,2020-05-11,279
Cotonou,2020-02-11,1152
Luanda,2020-02-06,513
Nantes,2020-04-20,525
São Tomé,2020-03-31,162
Cardiff,2020-05-18,457
Jacksonville,2020-05-04,803
Saint Petersburg,2020-05-06,1992
Jakarta,2020-01-13,393
Nizhny Novgorod,2020-02-22,1932
Chongqing,2020-01-29,166
Phnom Penh,2020-03-26,1751
Thiès,2020-05-20,1106
Guadalajara,2020-04-04,1131
Yaren District,2020-05-02,1283
Valletta,2020-04-08,1006
Shijiazhuang,2020-01-16,446
Bujumbura,2020-05-04,119
Vaduz,2020-02-11,123
Panama City,2020-02-19,1672
Denpasar,2020-05-17,1596
Puebla,2020-01-23,542
Valdivia,2020-04-23,1362
Dibrugarh,2020-04-18,1907
Nakhon Ratchasima,2020-04-26,240
Newcastle,2020-05-01,369
Pontianak,2020-01-22,1140
Multan,2020-01-29,807
Chiang Mai,2020-01-29,1577
Split (city),2020-05-08,1492
Luxembourg (city),2020-04-30,527
Stockholm,2020-03-19,170
Kolkata,2020-04-10,1472
Ibiza,2020-02-04,1976
Miri,2020-04-25,1564
Malmö,2020-01-11,832
Belmopan,2020-01-09,1331
Kuching,2020-05-05,1757
Bursa,2020-03-13,1701
Angra do Heroísmo,2020-04-29,893
Kharkiv,2020-04-17,327
Havana,2020-04-07,1862
Baltimore,2020-05-26,169
Chaguanas,2020-05-08,1571
Jamestown,2020-04-12,871
Jerusalem,2020-01-21,1106
Chennai,2020-05-09,1143
Kingstown,2020-03-23,1304
Kuching,2020-02-19,1239
Iquitos,2020-03-26,1718
Boa Vista,2020-05-16,1533
Kuala Lumpur,2020-05-08,1121
Dili,2020-02-17,1374
Murmansk,2020-03-31,1443
Zagreb,2020-02-25,1710
Pyongyang,2020-05-29,669
Gaziantep,2020-04-24,1947
Albuquerque,2020-01-16,1193
Samara,2020-02-11,1382
Casablanca,2020-02-19,673
San Francisco,2020-03-14,103
Andorra la Vella,2020-01-24,197
Semarang,2020-05-05,1825
Charlottetown,2020-03-20,546
Indianapolis,2020-05-04,1124
Labasa,2020-03-22,1837
Gibraltar,2020-03-17,1859
Jeddah,2020-01-01,195
Kandahar,2020-02-19,697
Rome,2020-02-14,1452
Shillong,2020-04-09,1278
Milan,2020-03-30,489
Pristina,2020-03-08,1953
Kaliningrad,2020-03-13,1971
New Orleans,2020-04-19,997
New Orleans,2020-01-26,1499
Wichita,2020-05-01,915
Baghdad,2020-04-06,883
Livingstone,2020-05-29,434
Faisalabad,2020-01-02,606
Jacksonville,2020-01-22,1306
Cockburn Town,2020-05-24,1334
Naypyidaw,2020-03-17,589
Phoenix,2020-01-17,1286
Abu Dhabi,2020-05-06,602
Cartagena,2020-05-19,585
Siem Reap,2020-02-19,740
Calgary,2020-05-26,746
Bandung,2020-05-11,330
Abidjan,2020-02-09,1456
Mecca,2020-05-29,1051
Helsinki,2020-03-07,182
Memphis,2020-01-14,1753
Tbilisi,2020-04-09,363
Cockburn Town,2020-05-28,881
Melbourne,2020-05-06,1373
Valparaíso,2020-03-28,949
Hyderabad,2020-03-18,397
Enugu,2020-05-02,1107
San José,2020-04-06,1441
Detroit,2020-05-10,152
Omdurman,2020-05-11,743
Paramaribo,2020-02-26,1910
Cayenne,2020-05-14,941
The Hague,2020-05-30,1691
Busan,2020-05-10,1315
Iquique,2020-01-30,725
Kandy,2020-05-24,409
Bishkek,2020-04-10,1595
Thimphu,2020-03-11,324
Palma,2020-03-03,697
Baltimore,2020-03-25,793
Hat Yai,2020-03-21,165
Magadan,2020-01-31,351
Kanpur,2020-03-09,1956
Tunis,2020-04-25,726
Rawalpindi,2020-05-02,1728
Asmara,2020-03-17,170
Curitiba,2020-04-28,946
Frankfurt,2020-05-10,1979
Durango,2020-03-18,825
Melekeok,2020-05-10,882
Naypyidaw,2020-03-21,835
La Paz,2020-02-14,675
Chişinău,2020-05-31,283
Dibrugarh,2020-05-06,1618
Niamey,2020-02-18,478
Jaipur,2020-03-23,850
Bridgetown,2020-02-07,1923
Livingstone,2020-02-14,1059
Nukuʻalofa,2020-05-07,952
Port Said,2020-05-16,481
Saskatoon,2020-02-16,184
Nagoya,2020-04-27,1612
Anadyr (town),2020-03-07,994
Zamboanga City,2020-04-04,1328
Seattle,2020-01-17,937
Longyearbyen,2020-05-30,560
Casablanca,2020-05-20,362
Jamestown,2020-03-17,335
Saipan,2020-01-05,1067
Thimphu,2020-02-27,627
Cardiff,2020-03-27,654
Ankara,2020-05-15,745
Mersin,2020-04-25,531
Pago Pago,2020-04-10,1935
Graz,2020-03-08,1200
Rosario,2020-03-25,1346
Damascus,2020-01-16,1664
Sydney,2020-03-09,1154
Dresden,2020-03-14,1326
Yellowknife,2020-05-28,1863
Vancouver,2020-01-29,830
Honolulu,2020-04-23,1450
Port Elizabeth,2020-02-05,430
Sitka,2020-03-02,1616
Karachi,2020-02-19,771
Columbus,2020-05-09,1126
Bern,2020-01-09,937
Cuiabá,2020-02-22,425
Pittsburgh,2020-04-30,1841
El Aaiún,2020-05-08,1442
Pelotas,2020-02-17,474
Daegu,2020-01-12,869
Pekanbaru,2020-05-11,514
Gothenburg,2020-01-28,1956
Yakutsk,2020-05-19,1278
Winnipeg,2020-03-10,693
Durango,2020-01-23,917
Adelaide,2020-03-18,335
San Francisco,2020-05-01,1964
Mersin,2020-02-02,336
Brussels,2020-04-13,1447
Adana,2020-04-06,310
Riga,2020-03-17,1225
Denver,2020-02-21,1736
Shanghai,2020-02-22,519
Majuro,2020-02-24,1090
Canberra,2020-05-08,1363
Bilbao,2020-01-30,1166
Iquitos,2020-02-20,310
Hamilton,2020-03-18,782
Kanpur,2020-05-16,472
Sucre,2020-04-21,1296
Baghdad,2020-04-05,104
Alor Star,2020-03-30,288
Tskhinvali,2020-03-08,263
Huế,2020-01-13,987
Moscow,2020-05-19,2000
Namangan,2020-01-23,268
Cuiabá,2020-01-31,697
Gold Coast,2020-02-05,1943
Kingstown,2020-03-01,1176
Curitiba,2020-03-31,984
Multan,2020-01-05,669
Nagoya,2020-02-06,1226
Asunción,2020-04-13,1400
Santo Domingo,2020-01-31,1263
Jaipur,2020-01-14,727
Reykjavík,2020-05-02,1846
Banjul,2020-01-18,396
Zürich,2020-05-27,120
Kraków,2020-04-25,765
Chuí,2020-03-06,1105
Wollongong,2020-01-17,432
Atlanta,2020-01-12,1140
Omsk,2020-04-24,1697
Basse-Terre,2020-04-03,1431
Roseau,2020-04-20,1610
Nice,2020-01-07,1017
Assis,2020-03-25,104
Istanbul,2020-01-19,1602
Cebu City,2020-02-24,1144
Amman,2020-02-24,1512
Buffalo,2020-05-19,1516
Hagåtña,2020-04-24,800
Luxembourg (city),2020-03-05,1707
El Aaiún,2020-01-03,445
Las Vegas,2020-05-10,898
Minsk,2020-02-12,1872
Dibrugarh,2020-03-23,1143
Shanghai,2020-05-21,1505
Kaliningrad,2020-05-30,1470
Shanghai,2020-04-21,1842
Faisalabad,2020-03-14,1466
Santa Cruz de Tenerife,2020-05-30,1359
Ilhéus,2020-01-16,1503
Nukulaelae,2020-02-12,1996
Managua,2020-01-01,1491
Udon Thani,2020-02-18,1518
Beirut,2020-02-27,1076
Petropavlovsk-Kamchatsky,2020-04-20,530
Albuquerque,2020-03-13,1970
Indianapolis,2020-03-13,418
Fort-de-France,2020-04-10,1258
Makassar,2020-01-25,1738
Townsville,2020-02-16,732
Antwerp,2020-05-12,897
Taichung,2020-03-12,1036
Campinas,2020-04-11,1734
Cincinnati,2020-03-24,770
Hyderabad,2020-04-11,122
Port Vila,2020-05-22,118
Port Louis,2020-03-05,683
Cincinnati,2020-01-02,1010
Saskatoon,2020-04-21,568
San Francisco,2020-03-26,901
Blantyre,2020-03-11,266
San Antonio,2020-05-13,1763
Dodoma,2020-02-16,677
Townsville,2020-02-29,458
Monrovia,2020-02-01,206
Dallas,2020-02-16,211
Kaesong,2020-01-11,1341
Las Palmas de Gran Canaria,2020-05-03,1654
Minsk,2020-03-07,1576
Virginia Beach,2020-04-27,1343
Lagos,2020-02-21,1893
Surat,2020-04-07,782
Tehran,2020-02-12,1504
Chiang Mai,2020-04-30,416
Monterrey,2020-02-08,1935
Recife,2020-05-10,1974
Barcelona,2020-05-16,1850
Abidjan,2020-05-21,1962
Hamburg,2020-01-12,653
Maputo,2020-04-04,638
Mata-Utu,2020-02-27,1265
Columbus,2020-02-05,1432
Hiroshima,2020-02-25,1726
Skopje,2020-01-14,756
Lhasa,2020-01-16,242
